order_id,sku,quantity,unit_price,discount_rate,promotion_code
ORD001,VEG001,1,2800,0.0,
ORD001,FRUIT001,1,3200,0.1,WELCOME10
ORD002,STARTER001,1,1200,0.0,
ORD003,VEG001,1,2800,0.0,
ORD003,MEAT001,1,4500,0.05,SUB5
ORD004,VEG004,1,1500,0.0,
ORD005,VEG001,1,2800,0.0,
ORD005,FRUIT001,1,3200,0.0,
ORD006,SIMPLE001,1,2400,0.0,
ORD007,VEG002,1,2200,0.0,
ORD007,DAIRY001,1,2200,0.0,
ORD008,FAMILY001,1,4800,0.0,
ORD009,VEG003,1,1800,0.0,
ORD010,PREMIUM001,1,6500,0.0,
ORD011,WEEKLY001,1,3600,0.0,
ORD012,VEG001,1,2800,0.0,
ORD012,FISH001,1,3800,0.0,
ORD013,VEG001,1,2800,0.0,
ORD013,MEAT001,1,4500,0.05,SUB5
ORD014,VEG002,1,2200,0.0,
ORD015,VEG003,1,1800,0.0,
ORD015,DAIRY002,1,1800,0.0,
ORD016,VEG004,2,1500,0.1,MULTI10
ORD017,VEG001,2,2800,0.0,
ORD017,FRUIT002,1,2500,0.0,
ORD018,VEG003,1,1800,0.0,
ORD019,VEG001,1,2800,0.0,
ORD019,MEAT002,1,2800,0.0,
ORD020,FAMILY001,1,4800,0.0,
ORD021,VEG001,1,2800,0.0,
ORD021,FRUIT001,1,3200,0.0,
ORD022,VEG004,1,1500,0.0,
ORD023,VEG001,1,2800,0.0,
ORD023,MEAT001,1,4500,0.05,SUB5
ORD024,WEEKLY001,1,3600,0.0,
ORD025,VEG001,1,2800,0.0,
ORD025,FRUIT001,1,3200,0.0,
ORD026,SIMPLE001,1,2400,0.0,
ORD027,VEG001,1,2800,0.0,
ORD027,MEAT001,1,4500,0.05,SUB5
ORD028,PREMIUM001,1,6500,0.0,
ORD029,VEG002,1,2200,0.0,
ORD029,DAIRY001,1,2200,0.0,
ORD030,VEG001,1,2800,0.0,
ORD030,FISH002,1,2400,0.0,
